Pharmacode;EAN-Code;Marke;Jahr
1330113;7640120000000;BURGERSTEIN;2021
6087427;7640120000000;BURGERSTEIN;2021
6024993;7640110000000;BEPANTHEN;2021
4474226;7611330000000;BIOMED;2021
2028184;4002430000000;BOSO;2021
7749747;4015670000000;OMRON;2021
3675690;7612800000000;VITALUX;2021
4854621;7640120000000;BURGERSTEIN;2021
6161968;7640110000000;NAAPREP;2021
5134449;7614700000000;DIASPORAL;2021
2181939;4031630000000;HYLO;2021
7296771;617958000000;DROGOVITA;2021
7293560;7611140000000;FEMANNOSE;2021
5603743;7350010000000;BIGAIA;2021
4862307;7614700000000;DIASPORAL;2021
1479080;7640100000000;ANTI BRUMM ;2021
6440579;7611330000000;REDUFORTE;2021
7785418;7649990000000;TOPCLEAN;2021
7649471;7640110000000;BEPANTHEN;2021
7402635;7610180000000;BISOLVON;2021
7154189;7640140000000;BRAUN;2021
7293577;7611140000000;FEMANNOSE;2021
6729179;7611330000000;BIOMED;2021
5377991;7640120000000;BURGERSTEIN;2021
4435249;7640120000000;BURGERSTEIN;2021
5554803;5011310000000;HEDRIN;2021
4275308;4015670000000;OMRON;2021
2911728;7610030000000;HIRSANA;2021
3337160;7611380000000;CENTRUM;2021
853955;7680260000000;BLATTGR躈;2021
2863662;7611380000000;CENTRUM;2021
6506812;7614700000000;DIASPORAL;2021
7766098;3663560000000;COMPEED;2021
6692861;7611380000000;THERMACARE;2021
4048966;7640120000000;BURGERSTEIN;2021
6536374;7640120000000;BURGERSTEIN;2021
6454328;7640110000000;PREDICTOR;2021
7756720;7611140000000;FEMANNOSE;2021
6462032;7612670000000;H腘SELER;2021
2863604;7611380000000;CENTRUM;2021
5979359;4022170000000;BRAUN;2021
7422046;7610180000000;DULCOSOFT;2021
7673529;4031680000000;STERILLIUM;2021
5134432;7614700000000;DIASPORAL;2021
3894239;7640130000000;VOLTAFLEX;2021
7776342;7640110000000;FLUIMARE;2021
5339192;5011320000000;CLEARBLUE;2021
6071857;7640120000000;BURGERSTEIN;2021
7307925;7640130000000;NATALBEN;2021
10012731;NA;TP;2021
6909875;7640150000000;OTRIVIN;2021
6030835;7640110000000;SUPRADYN;2021
6388979;7613000000000;GELOREVOICE;2021
10013889;2060060000000;HYGIENEMASKE;2021
7479460;4105170000000;DEUMAVAN;2021
7422052;7610180000000;DULCOSOFT;2021
5695484;7613000000000;GELOREVOICE;2021
6369396;7640110000000;BEROCCA;2021
7749074;4260620000000;BITE;2021
6909881;7640150000000;OTRIVIN;2021
7741611;7610180000000;BISOLVON;2021
7776344;7640110000000;FLUIMARE;2021
4674899;7611380000000;THERMACARE;2021
7171408;7612050000000;SOUFROL;2021
5337112;7611930000000;ENDWARTS;2021
3055705;4260050000000;EMSER;2021
10004025;7680440000000;IROPECT;2021
6242023;7612260000000;LEUCEN;2021
5343561;7640120000000;BURGERSTEIN;2021
6454334;7640110000000;PREDICTOR;2021
7700232;7640110000000;SUPRADYN;2021
6168108;4005900000000;EUCERIN;2021
7753539;7640110000000;ELEVIT;2021
7781295;7640110000000;SUPRADYN;2021
3461210;7612480000000;OMEGA-LIFE;2021
2761915;7640110000000;LUBEX;2021
4048920;7640120000000;BURGERSTEIN;2021
2465708;7610310000000;VOGEL;2021
7761541;7640250000000;VERACTIV;2021
4114278;7614700000000;OMEGA-LIFE;2021
3620542;7640110000000;PHYTOPHARMA;2021
2500770;4250530000000;ALMASED;2021
7769490;7610990000000;BIMBOSAN;2021
6091601;7640120000000;BURGERSTEIN;2021
7774229;7611600000000;DERMAPLAST;2021
6242017;7612260000000;LEUCEN;2021
5318416;7611330000000;BIOMED;2021
1460755;7610460000000;PARO;2021
7606527;3663560000000;COMPEED;2021
7236639;7640110000000;FLUIMARE;2021
6217249;7613000000000;ALPINAMED;2021
7777452;7640120000000;BURGERSTEIN;2021
7748565;3175680000000;MODIFAST;2021
3541222;3337870000000;ROCHE;2021
5075882;3337870000000;ROCHE;2021
7451326;4005800000000;EUCERIN;2021
7774225;7611600000000;DERMAPLAST;2021
2406189;7612480000000;PERNATON;2021
7755337;7640110000000;BEPANTHEN;2021
6996472;7611330000000;APPCONTROL;2021
5702669;9088880000000;ANTISTAX;2021
7347801;7640150000000;FILABE;2021
2949553;7612100000000;JEMALT;2021
1711393;7640120000000;BURGERSTEIN;2021
10007988;7321880000000;HAROLOGI;2021
2164102;7640120000000;BURGERSTEIN;2021
2863633;7611380000000;CENTRUM;2021
2286472;7640100000000;VISMED;2021
7740521;9120080000000;HOMEDI-KIND;2021
4921889;7640120000000;BURGERSTEIN;2021
5744320;7640110000000;LUBEX;2021
7238785;3337880000000;ROCHE;2021
7781292;7640110000000;SUPRADYN;2021
4687152;3700030000000;SYSTANE;2021
3476720;7612260000000;GYNOFIT;2021
7296765;617958000000;DROGOVITA;2021
5376744;7640160000000;EXTRA;2021
1665380;7611480000000;WIDMER;2021
3821542;7610310000000;VOGEL;2021
7781293;7640110000000;SUPRADYN;2021
6030829;7640110000000;SUPRADYN;2021
2531227;7611840000000;TEBODONT;2021
5636056;30106659;ROCHE;2021
7649040;7612410000000;CURAPROX;2021
2192044;7640100000000;ANTI BRUMM ;2021
346276;4031680000000;STERILLIUM;2021
7801145;8936200000000;FAMAPRO;2021
5860138;4001640000000;VISIODORON;2021
5667766;7640110000000;BEPANTHEN;2021
7277199;7613000000000;ALPINAMED;2021
7673452;4015670000000;OMRON;2021
7664559;7640110000000;CERUMENOL;2021
10004806;NA;DEPOT;2021
7464406;7640110000000;BEPANTHEN;2021
7751019;3337880000000;ROCHE;2021
7427894;3337880000000;ROCHE;2021
7352133;7612050000000;SOUFROL;2021
7795623;7640110000000;PRIORIN;2021
4252744;4031630000000;HYLO-GEL;2021
7173933;7640120000000;BURGERSTEIN;2021
7081740;8001090000000;KUKIDENT;2021
3180362;7640100000000;TRIOMER;2021
2230419;7611600000000;DERMAPLAST;2021
4047234;3337870000000;ROCHE;2021
7200937;7611460000000;MAVENA;2021
7649465;7640110000000;BEPANTHEN;2021
6655423;4260050000000;EMSER;2021
6851259;7640140000000;NAILNER;2021
3556962;4005800000000;EUCERIN;2021
7667167;617958000000;DROGOVITA;2021
6512988;7640170000000;ANTI BRUMM ;2021
7575838;4005800000000;EUCERIN;2021
6340056;7640110000000;BEPANTHEN;2021
5988045;7640130000000;PROXEED;2021
4468852;7613030000000;THICKENUP;2021
6824937;7630000000000;TATTOO;2021
7082231;7640110000000;BEPANTHEN;2021
2845687;7614700000000;GRETHERS;2021
7293436;3337880000000;ROCHE;2021
3032006;7640120000000;BURGERSTEIN;2021
7233546;4005900000000;EUCERIN;2021
4445578;4048880000000;VAGISAN;2021
4533839;300650000000;AOSEPT;2021
10015179;8029410000000;Topface;2021
7743317;4070070000000;SANDDORN;2021
851011;2010630000000;SUDAXYL;2021
6759275;7640130000000;VIBOVIT;2021
2663325;7640120000000;BURGERSTEIN;2021
6146638;7640160000000;EXTRA;2021
3682589;9001570000000;SEMPERCARE;2021
4635066;7640120000000;BURGERSTEIN;2021
7781291;7640110000000;SUPRADYN;2021
6000490;4260060000000;MEDI-7;2021
2875010;7640120000000;BURGERSTEIN;2021
5353223;7612410000000;CURAPROX;2021
6232680;3337870000000;ROCHE;2021
7767041;7611840000000;EMOFLUOR;2021
7755160;7640160000000;CHI ENERGY;2021
5439278;7612450000000;PRONTOSAN;2021
7125779;3282780000000;AVENE;2021
4674907;7611380000000;THERMACARE;2021
5750378;7680630000000;SIDROGA;2021
7700108;7640110000000;SUPRADYN;2021
2863627;7611380000000;CENTRUM;2021
2800710;7640100000000;VISMED;2021
4439046;7611140000000;DUL-X;2021
2932682;7680560000000;PERSKINDOL;2021
1919449;7640100000000;TRIOMER;2021
2818041;7610040000000;SALBEI;2021
7367726;7640170000000;VERFORA;2021
5708198;7611330000000;INSHAPE;2021
7233523;4005800000000;EUCERIN;2021
7202646;4105170000000;DEUMAVAN;2021
4105463;4005800000000;EUCERIN;2021
6454819;7640120000000;BURGERSTEIN;2021
5439901;7612080000000;ACTINICA;2021
7689513;4056650000000;FLAWA;2021
4463501;7640120000000;BURGERSTEIN;2021
6828059;3337880000000;ROCHE;2021
7773340;7610100000000;ROCHE;2021
7785870;9120000000000;OMNI-BIOTIC;2021
6554550;7680630000000;SIDROGA;2021
7766665;4031630000000;HYLO-DUAL;2021
7206130;7640150000000;OTRIVIN;2021
6815157;7613000000000;ALPINAMED;2021
7750276;7614700000000;NEO-ANGIN;2021
4075271;5000170000000;THERMACARE;2021
7628658;3337880000000;ROCHE;2021
5013591;4086000000000;FRESUBIN;2021
2201091;7611600000000;DERMAPLAST;2021
2980439;7640120000000;TANNO-HERMAL;2021
6563885;7611290000000;TAL;2021
7516787;7640110000000;SUPRADYN;2021
5430142;7640100000000;TRIOFAN;2021
7785874;9120000000000;OMNI-BIOTIC;2021
7786915;7618500000000;BIOTTA;2021
7451332;4005800000000;EUCERIN;2021
7781294;7640110000000;SUPRADYN;2021
7751012;4030990000000;ROCHE;2021
7233552;4005900000000;EUCERIN;2021
1853555;7680530000000;PERSKINDOL;2021
5314996;4005800000000;EUCERIN;2021
1367079;7614700000000;GRETHERS;2021
5120217;7640110000000;WARTNER;2021
6692878;7611380000000;THERMACARE;2021
1665351;7611480000000;WIDMER;2021
2642926;741273000000;RESCUE;2021
6281767;7621500000000;RAUSCH;2021
7270317;7640120000000;BURGERSTEIN;2021
6148264;7613040000000;OPTIFIBRE;2021
6790517;4084500000000;CLEARBLUE;2021
6823872;3337880000000;ROCHE;2021
7795622;7640110000000;PRIORIN;2021
2863596;7611380000000;CENTRUM;2021
6242046;7612260000000;LEUCEN;2021
1516237;741273000000;RESCUE;2021
6876147;4260050000000;EMSER;2021
6855961;7640120000000;BURGERSTEIN;2021
1379125;4004150000000;FLORADIX;2021
6603627;4031630000000;EVOTEARS;2021
4862313;7614700000000;DIASPORAL;2021
7751168;3175680000000;MODIFAST;2021
5848580;7612080000000;DAYLONG;2021
7789163;7640110000000;ALFLOREX;2021
6067784;7630000000000;CELL-1;2021
6062249;7640110000000;LACTACYD;2021
7742894;7614700000000;DIASPORAL;2021
5787364;7317400000000;TEPE;2021
7452455;7611480000000;WIDMER;2021
5094359;7611140000000;UNDEX;2021
7809421;7640120000000;BURGERSTEIN;2021
2637291;7640110000000;BEPANTHEN;2021
10006471;2060040000000;TOPFACE;2021
6478688;4260020000000;SIDROGA;2021
6377183;7640120000000;BURGERSTEIN;2021
1587415;7640120000000;BURGERSTEIN;2021
3556927;4005800000000;EUCERIN;2021
7735821;7613040000000;NESTROVIT;2021
2413019;7611480000000;WIDMER;2021
2911740;7610030000000;HIRSANA;2021
5992064;4022170000000;BRAUN;2021
2620528;7640120000000;BURGERSTEIN;2021
7752705;7611480000000;WIDMER;2021
6475879;4046720000000;3M;2021
2868837;7613000000000;ALPINAMED;2021
1666014;7611480000000;WIDMER;2021
10004734;8029410000000;TOPFACE;2021
7761392;4002450000000;SCHOLL;2021
3275401;4005800000000;EUCERIN;2021
7233492;4005800000000;EUCERIN;2021
2183849;7611330000000;ALLSAN;2021
265218;7610470000000;NICOLAY;2021
7765954;4052200000000;SOFT;2021
6802396;300654000000;OPTI;2021
7184753;3337880000000;ROCHE;2021
3142172;4031630000000;HYLO;2021
4921903;7640120000000;BURGERSTEIN;2021
4276130;7640100000000;PERSKINDOL;2021
2285426;5038480000000;SCHOLL;2021
7773459;7610720000000;STRATH;2021
7776403;7640110000000;BEPANTHEN;2021
6555147;4260000000000;SIMILASAN;2021
4470518;7614700000000;DIKLA;2021
4767112;3337870000000;ROCHE;2021
7740986;7640120000000;HERBORISTERIA;2021
7269828;7640130000000;NAVIBLEF;2021
1639299;7611050000000;CLEANICDENT;2021
10004487;2060040000000;HUSTENSIRUP;2021
7767304;7640120000000;BURGERSTEIN;2021
7081792;8001090000000;KUKIDENT;2021
5412109;7612080000000;DAYLONG;2021
1665977;7611480000000;WIDMER;2021
7769590;3337880000000;ROCHE;2021
4724077;7612260000000;GYNOFIT;2021
7361652;5701940000000;PERSPIREX;2021
6792580;3662040000000;BLEPHACLEAN;2021
5029103;7640110000000;AUDISPRAY;2021
10006468;8029410000000;TOPFACE;2021
6151823;6001160000000;BI-OIL;2021
7594617;4260020000000;ORTHOMOL;2021
7500846;9120080000000;HOMEDI-KIND;2021
3594649;7640120000000;BESSER;2021
2184151;7611480000000;WIDMER;2021
1682361;7611840000000;EMOFORM;2021
7740984;7640120000000;HERBORISTERIA;2021
3604885;7640100000000;TRIOMER;2021
3237197;7613000000000;ALPINAMED;2021
4771616;3337870000000;VICHY;2021
3515733;7610110000000;BLISTEX;2021
10006463;8029410000000;TOPFACE;2021
5330771;7611480000000;WIDMER;2021
5165409;7611370000000;ROHRVIT;2021
10007920;2060060000000;HEIDAK;2021
7244768;4005800000000;EUCERIN;2021
5973351;5708930000000;COMPEED;2021
