Artikelbezeichnung;Pharmacode;EAN-Code;alessandra.schwarz@coop.ch
3M CAVILON Langzeit-Hautschutzcreme 92 g;7822214;7.07388E+11;
3M FUTURO Bandage Comf Lift Ellbogen L;5889811;4.04672E+12;
3M FUTURO Bandage Comf Lift Ellbogen M;5889828;4.04672E+12;
3M FUTURO Bandage Comf Lift Sprunggelenk S;5889544;4.04672E+12;
3M FUTURO Halskrause anpassbar;7840991;4.04672E+12;
3M FUTURO Handgelenk-Schiene anpassbar schwarz;7840992;4.04672E+12;
3M FUTURO Handgelenkbandage one size;4464601;4.0058E+12;
3M FUTURO Kniebandage S rechts/links;4464570;4.0058E+12;
3M FUTURO Ultra Performance Knie-Bandage L;7807131;4.0546E+12;
3M FUTURO Ultra Performance Knie-Bandage M;7807130;4.0546E+12;
3M MEDIPORE+PAD 10x15cm Wundkissen 5x10.5cm 25 Stk;2422171;8.71143E+12;
3M OPTICLUDE MAXI Augenverb 8x5.7cm 20 Stk;680845;5.00049E+12;
3M Polsterwatte 7.5cmx2.7m Rolle 12 Stk;2515889;3.87114E+12;
3M STERI DRAPE Abdecktuch 75x90cm 30 Stk;2289453;1.87114E+12;
A&E Aktivstoff Resveratrol 3 % Pip Fl 20 ml;7845152;8.02941E+12;
A&E Aktivstoff Vitamin A 2 % Pip Fl 20 ml;7845146;8.02941E+12;
A&E Aktivstoff Vitamin C 20 % Pip Fl 20 ml;7845147;8.02941E+12;
A&E Anti-Pigment Konzentrat Disp 30 ml;7845140;8.02941E+12;
A&E Ceramide-Komplex Hautstraff Cr Topf 50 ml;7845128;8.02941E+12;
A&E Ceramide-Komplex Hautver Creme LT Topf 50 ml;7845126;8.02941E+12;
A&E Ceramide-Komplex Hautver Creme RT Topf 50 ml;7845127;8.02941E+12;
A&E Deo Roll-on empfindliche Haut 50 ml;7845239;8.02941E+12;
A&E Deo Spray Antitranspirant Sport 100 ml;7845243;8.02941E+12;
A&E Dusch-Shampoo Sport Fl 300 ml;7845233;8.02941E+12;
A&E Duschgel Ringelblumen-Extrakt 400 ml;7845234;8.02941E+12;
A&E Gesichtspeeling Tb 100 ml;7845262;8.02941E+12;
A&E Hyaluron Anti-Aging Tuchmaske 15 ml;7845142;8.02941E+12;
A&E Hyaluron feuchtigkeit Creme LT Topf 50 ml;7845120;8.02941E+12;
A&E Hyaluron feuchtigkeit Creme RT Topf 50 ml;7845121;8.02941E+12;
A&E Hyaluron Hand- & Nagelcreme Tb 75 ml;7845272;8.02941E+12;
A&E Hyaluron konz Hyaluron-Gel Disp 50 ml;7845133;8.02941E+12;
A&E Hyaluron Reinigungsmilch regenerierend 200 ml;7845259;8.02941E+12;
A&E Hyaluron sanftes Peeling Disp 30 ml;7845137;8.02941E+12;
A&E Hyaluron Schutzfluid SPF30 Disp 30 ml;7845138;8.02941E+12;
A&E Intim-Waschlotion schützend pH4.5 250 ml;7845236;8.02941E+12;
A&E Kletten klärendes Reinigungsgel Probiot 200 ml;7846269;8.02941E+12;
A&E Körpercreme festigend Topf 250 ml;7845264;8.02941E+12;
A&E Körperöl straffend Spr 100 ml;7845270;8.02941E+12;
A&E Lippenschutz Stick 4.5 ml;7845470;8.02941E+12;
A&E Prokollagen energie Creme Topf 50 ml;7845122;8.02941E+12;
A&E Prokollagen Gesichts Hals Creme Topf 50 ml;7845123;8.02941E+12;
A&E Prokollagen Lifting Creme (#) Topf 50 ml;7845124;8.02941E+12;
A&E Prokollagen Lifting Serum (neu) Disp 50 ml;7852651;8.02941E+12;
A&E Prokollagen nährende Creme Topf 50 ml;7845125;8.02941E+12;
A&E Reinigungsmilch belebend (#) Fl 200 ml;7845258;8.02941E+12;
ABBOTT FREESTYLE Libre 2 Lesegerät;7768171;5.02179E+12;
ABBOTT FREESTYLE Libre 2 Sensor 14 Tage;7768172;5.02179E+12;
ABGABE EINER FRAKTIONIERTEN PACKUNG 16.3.-16.6.23;10008084;NA;
ABGABE EINER FRAKTIONIERTEN PACKUNG 9.1.23-3.4.2023;10008084;NA;
ABGABE EINER FRAKTIONIERTEN PACKUNG Mai;10008084;NA;
ABGABE EINER FRAKTIONIERTEN PACKUNG: 16.12.22-15.3.23;10008084;NA;
ABGABE EINER FRAKTIONIERTEN PACKUNG: 22.12.22-20.6.23;10008084;NA;
ABGABE EINER FRAKTIONIERTEN PACKUNG: Dez.22-Febr.23;10008084;NA;
ABGABE EINER FRAKTIONIERTEN PACKUNG: Juli und August;10008084;NA;
ABGABE EINER FRAKTIONIERTEN PACKUNG: Juni;10008084;NA;
ABGABE EINER FRAKTIONIERTEN PACKUNG: März+April;10008084;NA;
ACCU-CHEK (PI-APS) Guide Teststreifen 2 x 50 Stk;7838735;7.64014E+12;
ACCU-CHEK GUIDE SET Gratisgerät;10015897;NA;
ACCU-CHEK INSTANT SET Gratisgerät;10015894;NA;
ACETYLCYSTEIN Zentiva Brausetabl 600 mg 10 Stk;7778108;7.68052E+12;
ACHILLOTRAIN Pro Aktivbandage Gr3 titan;3006948;4.04645E+12;
ACTIMARIS forte Wundspüllösung Fl 300 ml;7814672;7.64999E+12;
ADAPTIC DIGIT Fingerverband small steril 10 Stk;2468144;2.5052E+12;
ADAPTIC Wundverband 7.6x7.6cm steril (n) 10 Stk;7850594;4.0546E+12;
ADLER Calmin Tabl Ds 400 Stk;7240983;7.68065E+12;
ADROPHARM Eibisch Bonbons weich Btl 40 g;7786180;7.61278E+12;
AGIOLAX mite Gran Ds 250 g;7812259;7.68043E+12;
AGIOLAX mite ohne Senna Gran Ds 1000 g;889893;7.68043E+12;
AION A Heilgestein Fertigwickel 6 Stk;7087458;7.64999E+12;
AIRCAST AirGo Plus Sprunggelenksorthese L rechts;7313558;4.25089E+12;
AKILEINE Blau Karite Regenenerationscreme 50 ml;2099592;3.32304E+12;
ALGIFOR Dolo Rhinogrippal Kaps 20 Stk;7817120;7.68068E+12;
ALKALA S Plv 250 g;6229577;7.64014E+12;
ALKOTIP Alkoholtupfer unsteril 105 Stk;7750358;4.05292E+12;
ALLERGODIL SAISONAL forte Nasenspray 0.15 % 5 ml;7844871;7.68065E+12;
ALLEVYN HEEL Fersenverband 5 Stk;2600537;5.00022E+12;
ALLPRESAN diabetic Schaum Cr Int Rep m Duft 125 ml;1026584;4.03824E+12;
ALLSTAR Pro Lantus/Apidra/Insuman Insulinpen blau;7259184;7.61018E+12;
ALPINAMED Safran Kids Bären Ds 60 Stk;1000292;7.613E+12;
ALPINAMED Weihrauch Cannabis MSM Gel Disp 100 ml;7838302;7.613E+12;
Aluminiumchlorhydroxid-Lösung 10% KA 2x100g Spray;10016344;NA;
Aluminiumchlorhydroxid-Lösung 20% 100g;10016424;NA;
Aluminiumchlorhydroxid-Lösung 20% 2x100ml Sprühfl.;10016525;NA;
AMAZONAS acai Bio Fruchtpulver 100 % pur Ds 80 g;7748851;4.02587E+12;
ANDREADHA plus Omega-3 Vit D3+K2 Kaps vegan 60 Stk;7744827;7.63E+12;
ANDREAMAG 300 mg Himbeeraroma 20 Stk;5950491;7.68062E+12;
ANDURSIL Kautabl 100 Stk;682873;7.68039E+12;
Antabus 200 mg Brause (Imp.DK) 100 Stk.;10016556;NA;
ANTI BRUMM Kids sensitive Spr 150 ml;7817592;7.64025E+12;
ANTI BRUMM Kids sensitive Spr 75 ml;7817591;7.64025E+12;
ANZAHLUNG  Deutschland medi;10004735;2.06004E+12;
APONORM MEDIZINALGLAS DOSIERVERSCHLUSS 200ML;10008243;NA;
APONORM ZERSTäUBERFLASCHE 30ML;10008262;NA;
APOTHEKERS ORIG Pferdesalbe Medic Tb 150 ml;6875515;4.03308E+12;
APTAMIL Pregomin Ds 400 g;7748563;4.00305E+12;
Aqua D'Alibour 10% 100ml;10016334;NA;
AQUA DEST Braun Spül Lös 10 Ecotainer 500 ml;2125906;4.03054E+12;
AQUACEL Ag Foam nicht-adhäsiv 5x5cm 10 Stk;5475914;7.68455E+11;
AQUACEL Ag+ Extra Kompresse 10x10cm 10 Stk;7803835;7.68455E+11;
AQUACEL EXTRA Hydrofiber Verband 5x5cm 10 Stk;7803832;7.68455E+11;
AQUAPAK Sterilwasser Adapter 340 ml;2962200;4.0267E+12;
AQUILEA Relax Forte Tabl 30 Stk;7828573;4.26002E+12;
